Date,Price
,HUM
2021-04-19,425.39794921875
2021-04-20,428.37615966796875
2021-04-21,429.7783508300781
2021-04-22,429.9814453125
2021-04-23,433.83001708984375
2021-04-26,431.4126281738281
2021-04-27,433.98468017578125
2021-04-28,424.1407775878906
2021-04-29,432.8630676269531
2021-04-30,430.5422668457031
2021-05-03,435.7254333496094
2021-05-04,447.7159729003906
2021-05-05,444.9020690917969
2021-05-06,450.24957275390625
2021-05-07,449.7273864746094
2021-05-10,454.4559326171875
2021-05-11,440.7150573730469
2021-05-12,438.7713928222656
2021-05-13,440.8987121582031
2021-05-14,437.8043518066406
2021-05-17,435.5899658203125
2021-05-18,434.62298583984375
2021-05-19,429.9233703613281
2021-05-20,425.2334899902344
2021-05-21,431.2772216796875
2021-05-24,428.1732482910156
2021-05-25,427.2932434082031
2021-05-26,424.3535461425781
2021-05-27,424.8563537597656
2021-05-28,423.25115966796875
2021-06-01,417.0140686035156
2021-06-02,414.7416076660156
2021-06-03,416.4339599609375
2021-06-04,412.25653076171875
2021-06-07,402.2674865722656
2021-06-08,408.3885192871094
2021-06-09,408.7947082519531
2021-06-10,407.0638122558594
2021-06-11,405.3425598144531
2021-06-14,401.41656494140625
2021-06-15,410.6416931152344
2021-06-16,413.9873962402344
2021-06-17,414.7803039550781
2021-06-18,409.5198974609375
2021-06-21,421.1722106933594
2021-06-22,421.3462219238281
2021-06-23,423.9861145019531
2021-06-24,426.18115234375
2021-06-25,427.12884521484375
2021-06-28,430.1941833496094
2021-06-29,428.3636779785156
2021-06-30,428.7801208496094
2021-07-01,433.5355224609375
2021-07-02,437.5451354980469
2021-07-06,439.30792236328125
2021-07-07,443.0754089355469
2021-07-08,440.1891784667969
2021-07-09,441.3029479980469
2021-07-12,443.8791809082031
2021-07-13,445.81622314453125
2021-07-14,445.62255859375
2021-07-15,452.2278137207031
2021-07-16,456.07281494140625
2021-07-19,446.41680908203125
2021-07-20,446.00030517578125
2021-07-21,448.8864440917969
2021-07-22,449.09954833984375
2021-07-23,456.3827819824219
2021-07-26,452.59588623046875
2021-07-27,452.7799377441406
2021-07-28,426.9302673339844
2021-07-29,417.18701171875
2021-07-30,412.45098876953125
2021-08-02,416.0538330078125
2021-08-03,412.09259033203125
2021-08-04,412.78997802734375
2021-08-05,402.8045959472656
2021-08-06,406.01031494140625
2021-08-09,403.531005859375
2021-08-10,401.7392883300781
2021-08-11,395.92816162109375
2021-08-12,392.9645080566406
2021-08-13,397.836181640625
2021-08-16,399.18231201171875
2021-08-17,400.34454345703125
2021-08-18,395.3083190917969
2021-08-19,400.6641845703125
2021-08-20,400.586669921875
2021-08-23,401.4195861816406
2021-08-24,399.356689453125
2021-08-25,393.7975158691406
2021-08-26,390.06866455078125
2021-08-27,392.9838562011719
2021-08-30,392.7417907714844
2021-08-31,392.6545715332031
2021-09-01,392.8290100097656
2021-09-02,403.0564880371094
2021-09-03,402.4753723144531
2021-09-07,400.6834716796875
2021-09-08,400.4801940917969
2021-09-09,403.98614501953125
2021-09-10,389.3229064941406
2021-09-13,396.1702575683594
2021-09-14,389.3326110839844
2021-09-15,388.3737487792969
2021-09-16,386.6014404296875
2021-09-17,394.949951171875
2021-09-20,391.3858337402344
2021-09-21,388.1316223144531
2021-09-22,387.7442626953125
2021-09-23,388.8096008300781
2021-09-24,386.34954833984375
2021-09-27,388.3737487792969
2021-09-28,382.5627136230469
2021-09-29,383.58148193359375
2021-09-30,377.5660095214844
2021-10-01,379.8945617675781
2021-10-04,373.5007019042969
2021-10-05,376.7510070800781
2021-10-06,380.81622314453125
2021-10-07,391.8381652832031
2021-10-08,400.4731750488281
2021-10-11,402.52032470703125
2021-10-12,407.9051513671875
2021-10-13,408.1671447753906
2021-10-14,422.0317687988281
2021-10-15,427.87249755859375
2021-10-18,425.4954833984375
2021-10-19,428.3576354980469
2021-10-20,440.9513244628906
2021-10-21,447.0929260253906
2021-10-22,448.1018981933594
2021-10-25,449.62518310546875
2021-10-26,453.19561767578125
2021-10-27,444.9874267578125
2021-10-28,453.6807556152344
2021-10-29,449.3728942871094
2021-11-01,445.83160400390625
2021-11-02,443.5029602050781
2021-11-03,445.77337646484375
2021-11-04,440.0489196777344
2021-11-05,439.9324951171875
2021-11-08,440.970703125
2021-11-09,436.9927978515625
2021-11-10,435.158935546875
2021-11-11,433.2088317871094
2021-11-12,432.1609802246094
2021-11-15,425.14617919921875
2021-11-16,430.909423828125
2021-11-17,425.3498840332031
2021-11-18,432.694580078125
2021-11-19,421.925048828125
2021-11-22,419.51885986328125
2021-11-23,424.2147216796875
2021-11-24,423.2056884765625
2021-11-26,415.73492431640625
2021-11-29,415.32745361328125
